paper_id,author_id
0704.0061,Boris Rubin
0705.2363,Marten Wegkamp
0704.0309,Guohun Zhu
0704.0010,Sergei Ovchinnikov
0704.0322,Quan-Xing Liu
0704.0322,Gui-Quan Sun
0704.0322,Bai-Lian Li
0704.0322,Zhen Jin
0704.0022,Simon J. A. Malham
0704.0022,Anke Wiese
0708.1627,Victor Chernozhukov
0708.1627,Ivan Fernandez-Val
0708.1627,Alfred Galichon
0704.0217,Wiroonsak Santipach
0704.0217,Michael L. Honig
0708.4376,Kostas Triantafyllopoulos
0708.4376,Giovanni Montana
0704.0002,Ileana Streinu
0704.0002,Louis Theran
1105.6154,Alexandre Belloni
1105.6154,Victor Chernozhukov
1105.6154,Denis Chetverikov
1105.6154,Ivan Fernandez-Val
0704.0615,Trevor Bruen
0704.0615,David Bryant
1707.07625,Olga Goulko
1707.07625,Nikolay Prokof'ev
1707.07625,Boris Svistunov
0704.0014,Koichi Fujii
0704.0648,Kaushik Majumdar
0807.3059,Erika Fille Legara
0807.3059,Anthony Longjas
0807.3059,Rene Batac
0704.0046,I. Csiszar
0704.0046,F. Hiai
0704.0046,D. Petz
0704.0429,P. Ao
0709.2694,Tanya Araujo
0709.2694,R. Vilela Mendes
0704.1546,Richard A. Neher
0704.1546,Wolfram Mobius
0704.1546,Erwin Frey
0704.1546,Ulrich Gerland
0704.0492,Shenghui Su
0704.0492,Shuwang Lu
1709.06072,Nematollah Zarmehi
1709.06072,Farokh Marvasti
0801.3353,Sergiu Hart
0801.3353,Yosef Rinott
0801.3353,Benjamin Weiss
0704.0008,Damian C. Swift
0704.1711,Patrick Letremy
0704.1711,Marie Cottrell
0704.1711,Patrice Gaubert
0704.1711,Joseph Rynkiewicz
0705.0568,Rodolphe Thiebaut
0705.0568,Helene Jacqmin-Gadda
0705.0568,Genevieve Chene
0705.0568,Catherine Leport
0705.0568,Daniel Commenges
0705.0304,Martin Paegelow
0705.0304,Nathalie Villa
0705.0304,Laurence Cornez
0705.0304,Frederic Ferraty
0705.0304,Louis Ferre
0705.0304,Pascal Sarda
1605.02869,Qi She
1605.02869,Xiaoli Wu
1605.02869,Beth Jelfs
