paper_id,author_id
0909.4239,Rui Dilão
0909.4239,Daniele Muraro
0905.2926,Louis Paulot
0905.2926,Xavier Lacroze
0704.0872,K. Veselic
0705.0038,Ji Li
0905.0727,Steven Matthew Anderson
0905.0727,Shahar Boneh
0905.0727,Nels Grevstad
0704.2626,B. Huard
0704.2626,J. A. Sulpizio
0704.2626,N. Stander
0704.2626,K. Todd
0704.2626,B. Yang
0704.2626,D. Goldhaber-Gordon
1209.2298,Nassim N. Taleb
0705.0658,Jean Bérard
0705.0658,Alejandro Ramírez
1908.00099,Bryan S. Graham
1908.00099,Andrin Pelican
1710.09676,Mario Coutino
1710.09676,Sundeep Prabhakar Chepuri
1710.09676,Geert Leus
0705.4080,S. Bezuglyi
0705.4080,J. Kwiatkowski
0705.4080,K. Medynets
1908.10065,Matthias Jordan
1908.10065,Volker Lenz
1908.10065,Markus Millinger
1908.10065,Katja Oehmichen
1908.10065,Daniela Thrän
0903.4219,Ali Navid
0903.4219,Eivind Almaas
1807.11382,Virginie Ollier
1807.11382,Mohammed Nabil El Korso
1807.11382,André Ferrari
1807.11382,Rémy Boyer
1807.11382,Pascal Larzabal
1810.10408,Jingjing Cui
1810.10408,Yuanwei Liu
1810.10408,Arumugam Nallanathan
1807.09531,Luis Díez
1807.09531,José A. Cortés
1807.09531,Francisco J. Cañete
1807.09531,Eduardo Martos
1807.09531,Salvador Iranzo
1003.0182,Richard D. Gill
1003.0182,Niels Keiding
1002.2702,Christian P. Robert
1711.04256,Songyan Wang
1711.04256,Jilai Yu
1711.04256,Wei Zhang
1011.2005,John Hughes
1011.2005,John Fricks
1011.2005,William Hancock
0707.4524,Shiguo Lian
0704.3980,Ivan Penkov
0704.3980,Gregg Zuckerman
0909.5194,Lauren A. Hannah
0909.5194,David M. Blei
0909.5194,Warren B. Powell
0710.5085,Judith M. Tanur
0904.4131,Alexander Weiss
0705.1912,Dagmar Timmreck
1007.5519,R. P. J. Perazzo
1007.5519,Laura Hernández
1007.5519,Horacio Ceva
1007.5519,Enrique Burgos
1007.5519,José Ignacio Alvarez-Hamelin
1309.1871,Takero Ibuki
1309.1871,Shunsuke Higano
1309.1871,Sei Suzuki
1309.1871,Jun-ichi Inoue
1309.1871,Anirban Chakraborti
1103.6119,Stéphane Girard
1103.6119,Serge Iovleff
1212.4279,Cassio Neri
1212.4279,Lorenz Schneider
0908.1082,Erhan Bayraktar
0908.1082,Constantinos Kardaras
0908.1082,Hao Xing
0705.1629,Valentin Ovsienko
1004.1758,Yadong Li
0705.2739,Maximilian F. Hasler
1106.1999,Abhishek Kumar
1106.1999,Ashwin Waikos
1106.1999,Siddhartha P. Chakrabarty
0704.1487,Luis Daniel Abreu
0704.2865,Andrei Khrennikov
0804.0221,Matias dell'Erba
0804.0221,Guillermo R. Zemba
0708.0603,Z. Akbar
0708.0603,Slamet
0708.0603,B. I. Ajinagoro
0708.0603,G. I. Ohara
0708.0603,I. Firmansyah
0708.0603,B. Hermanto
0708.0603,L. T. Handoko
0704.2402,Francisco R. Ruiz del Portal
0704.2402,José Manuel Salazar
0704.2725,Manuel Cebrian
0704.2725,Ivan Cantador
0704.3940,Ryan Budney
0704.3940,Alexandra Mozgova
1103.5414,John Cotter
1103.5414,Simon Stevenson
1002.2740,Constantinos Kardaras
0704.0307,Eric L. N. Jensen
0704.0307,Saurav Dhital
0704.0307,Keivan G. Stassun
0704.0307,Jenny Patience
0704.0307,William Herbst
0704.0307,Frederick M. Walter
0704.0307,Michal Simon
0704.0307,Gibor Basri
0704.0307,;
1812.07776,Bashir Sadeghi
1812.07776,Runyi Yu
1812.07776,Vishnu Naresh Boddeti
0706.4004,Ahmed Ait Ali
0706.4004,Fabien Michaut
0706.4004,Francis Lepage
0704.0449,Volker Braun
0704.0449,Maximilian Kreuzer
0704.0449,Burt A. Ovrut
0704.0449,Emanuel Scheidegger
1804.05937,Mehmet Ali Tugtekin Turan
0705.0659,Cindy De Volder
0705.0659,Antonio Laface
0704.0823,Hugh S. Hudson
0711.0350,G. Morvai
0711.0350,B. Weiss
1108.3177,David Siegmund
1108.3177,Benjamin Yakir
1108.3177,Nancy R. Zhang
1810.10724,Shuaishuai Guo
1810.10724,Haixia Zhang
1810.10724,Peng Zhang
1810.10724,Pengjie Zhao
1810.10724,Leiyu Wang
1810.10724,Mohamed-Slim Alouini
0705.4079,Alpan Raval
1512.06290,Demian Pouzo
0705.0827,T. Oliynyk
0705.0827,V. Suneeta
0705.0827,E. Woolgar
0705.1597,Sibylle Schroll
0705.1597,Kai Meng Tan
1903.08025,Matteo Mogliani
1903.08025,Anna Simoni
0706.0484,David R. Wright
1404.5203,Ventura Charlin
1404.5203,Arturo Cifuentes
1101.0917,Adele Cutler
1812.11067,Alex Burnap
1812.11067,John Hauser
