paper_id,topic_id
0909.4239,q-bio.QM
0909.4239,q-bio.MN
0905.2926,q-fin.PR
0905.2926,q-fin.PM
0704.0872,math.SP
0705.0038,math.CO
0905.0727,stat.AP
0704.2626,cond-mat.mes-hall
1209.2298,q-fin.RM
1209.2298,stat.AP
0705.0658,math.PR
1908.00099,stat.ME
1908.00099,econ.EM
1710.09676,eess.SP
0705.4080,math.DS
1908.10065,econ.GN
1908.10065,q-fin.EC
0903.4219,q-bio.MN
0903.4219,q-bio.CB
0903.4219,q-bio.GN
0903.4219,q-bio.SC
1807.11382,stat.AP
1807.11382,astro-ph.IM
1807.11382,eess.SP
1810.10408,eess.SP
1807.09531,eess.SP
1003.0182,stat.AP
1003.0182,stat.ME
1002.2702,stat.CO
1002.2702,stat.ME
1711.04256,eess.SP
1011.2005,stat.AP
0707.4524,cs.MM
0707.4524,cs.NE
0704.3980,math.RT
0909.5194,stat.ML
0710.5085,stat.ME
0904.4131,q-fin.TR
0904.4131,q-fin.ST
0705.1912,math.MG
0705.1912,math.CO
1007.5519,q-bio.PE
1309.1871,q-fin.ST
1103.6119,stat.ML
1212.4279,q-fin.PR
0908.1082,q-fin.PR
0705.1629,math-ph
0705.1629,math.MP
0705.1629,math.QA
0705.1629,math.SG
1004.1758,q-fin.PR
0705.2739,math.FA
1106.1999,q-fin.CP
0704.1487,math.CA
0704.1487,math.CV
0704.2865,q-fin.ST
0704.2865,math-ph
0704.2865,math.MP
0704.2865,math.PR
0804.0221,q-bio.BM
0708.0603,cs.DC
0708.0603,cs.CY
0704.2402,math.DS
0704.2402,math.GT
0704.2725,cs.NE
0704.3940,math.GT
1103.5414,q-fin.ST
1002.2740,q-fin.GN
0704.0307,astro-ph
1812.07776,eess.SP
0706.4004,cs.NI
0704.0449,hep-th
1804.05937,eess.AS
1804.05937,eess.SP
0705.0659,math.AG
0704.0823,astro-ph
0711.0350,math.PR
0711.0350,cs.IT
0711.0350,math.IT
1108.3177,stat.AP
1810.10724,eess.SP
0705.4079,q-bio.PE
0705.4079,q-bio.MN
1512.06290,math.ST
1512.06290,econ.EM
1512.06290,stat.TH
0705.0827,hep-th
0705.0827,gr-qc
0705.0827,math.DG
0705.1597,math.RT
0705.1597,math.QA
1903.08025,econ.EM
0706.0484,cs.GL
1404.5203,q-fin.GN
1101.0917,stat.AP
1812.11067,econ.EM
1803.04607,eess.IV
0705.1715,math.CV
1811.10045,econ.EM
0711.4262,q-bio.QM
0711.4262,q-bio.SC
1009.5736,stat.ML
0704.1721,hep-ph
0709.0746,cs.CC
1808.09375,econ.EM
0708.0187,q-bio.NC
0708.0187,q-bio.TO
1812.07495,eess.SP
1809.03583,eess.SP
0704.0622,math.AG
1004.5060,q-bio.NC
1004.5060,nlin.CD
0709.4063,cs.CY
1607.00698,stat.ME
1607.00698,econ.EM
0704.0155,astro-ph
0710.1676,q-bio.GN
0710.3170,cs.NA
0901.3067,q-bio.MN
0704.1903,cond-mat.mtrl-sci
0704.0467,astro-ph
0704.1619,astro-ph
0909.5125,q-bio.MN
0909.5125,q-bio.CB
1005.0892,stat.AP
0704.0391,cond-mat.mes-hall
1001.2136,stat.CO
1001.2136,q-bio.QM
1001.2136,stat.AP
1001.2136,stat.ME
0704.0196,hep-ph
0704.3931,cs.LO
1104.2210,stat.ME
0706.3985,stat.ME
0706.3985,stat.AP
0706.3985,stat.CO
1808.10743,eess.SP
1708.06443,math.ST
1708.06443,econ.EM
1708.06443,stat.ME
1708.06443,stat.TH
0705.2309,math.AC
0705.2309,math.AG
0711.1273,cs.NI
0801.1560,q-bio.PE
1901.05645,econ.TH
0808.0593,stat.ME
0704.1672,physics.bio-ph
0704.1672,physics.comp-ph
0704.3640,q-bio.QM
0704.3640,cond-mat.dis-nn
0704.3640,math.DS
0704.3640,nlin.CD
0704.1234,hep-th
0704.1234,hep-ph
1810.04123,eess.SP
1810.04123,q-bio.QM
0806.2099,q-bio.TO
0806.2099,q-bio.QM
1105.2150,stat.AP
1105.2150,stat.ME
1802.06250,eess.SP
1205.1861,q-fin.ST
0806.1267,q-bio.PE
0705.0207,math.DG
0705.0207,math.QA
0704.1558,astro-ph
0708.0607,cs.DC
0708.0607,cs.RO
0711.1141,q-bio.QM
0711.1141,q-bio.SC
0710.1208,cs.LO
0710.1208,math.CT
1903.01690,econ.EM
0704.0839,math.AG
0704.0839,math.CO
0704.0839,math.GT
0704.0839,math.SG
0707.0498,cs.LG
0707.0498,cs.AI
0707.0498,cs.IT
0707.0498,math.IT
1904.08136,physics.soc-ph
1904.08136,econ.GN
1904.08136,q-fin.EC
1204.6590,q-fin.GN
0704.3696,math.AC
0704.3696,math.CO
0704.1395,hep-ph
1811.07637,eess.SP
1811.07637,hep-ex
1811.07637,physics.ins-det
0704.2370,cond-mat.mes-hall
1905.09552,econ.GN
1905.09552,physics.soc-ph
1905.09552,q-fin.EC
1806.06358,econ.EM
1806.06358,physics.ao-ph
1307.2180,q-fin.GN
0712.2188,q-bio.BM
0704.0484,physics.ed-ph
0704.0484,physics.gen-ph
0909.2785,stat.AP
0909.2785,q-bio.QM
1011.2895,stat.AP
1304.3969,stat.ME
1304.3969,econ.EM
1304.3969,math.ST
1304.3969,stat.TH
1407.3154,q-fin.PM
0705.0734,cs.AI
0705.3496,math.PR
0708.1136,q-bio.BM
0705.1076,math.QA
0704.2278,math.ST
0704.2278,stat.TH
0704.0296,hep-th
0711.2618,cs.DC
0711.2618,cs.GT
1801.01811,q-fin.CP
1801.01811,econ.EM
1801.01811,q-fin.GN
1801.01811,q-fin.TR
1710.01604,eess.SP
1801.01979,eess.IV
1801.01979,physics.optics
1904.05952,econ.EM
0904.1157,q-fin.CP
0904.1157,q-fin.PR
1903.07997,econ.GN
1903.07997,q-fin.EC
1902.05938,q-fin.CP
1902.05938,econ.GN
1902.05938,q-fin.EC
1305.6988,q-fin.PR
1305.6988,q-fin.CP
1305.6988,q-fin.RM
1811.06950,physics.optics
1811.06950,eess.IV
0704.3916,math.CA
0704.3916,math.AP
1303.3391,q-fin.PR
1303.3391,q-fin.ST
1905.04419,econ.GN
1905.04419,q-fin.EC
1005.1214,stat.ME
0704.1932,astro-ph
1010.0807,stat.ME
1210.0057,q-fin.ST
1210.0057,q-fin.RM
0812.4156,q-fin.CP
0812.4156,q-fin.PR
1811.03329,econ.EM
0704.1653,hep-th
0704.1653,astro-ph
0904.0830,q-fin.CP
0904.0830,q-fin.RM
0903.2960,q-bio.GN
0903.2960,q-bio.PE
0901.1572,q-bio.PE
0707.1025,cs.IT
0707.1025,math.IT
1808.03630,eess.SP
1808.03630,q-bio.NC
1906.11208,econ.EM
1906.11208,stat.ME
0706.0294,q-bio.MN
0706.0294,q-bio.QM
1708.06436,math.ST
1708.06436,econ.EM
1708.06436,stat.ME
1708.06436,stat.TH
1108.4113,q-fin.PR
0704.1665,physics.gen-ph
0804.2752,stat.ME
0707.3775,q-bio.BM
0707.3775,q-bio.QM
1712.08659,eess.SP
1207.4309,stat.OT
1207.4309,q-fin.RM
1003.0168,q-fin.TR
1003.0168,q-fin.ST
1904.07660,physics.soc-ph
1904.07660,econ.GN
1904.07660,nlin.AO
1904.07660,q-fin.EC
0803.1082,q-bio.PE
1810.11609,eess.SP
1810.11609,math.OC
0704.1172,quant-ph
1711.11407,eess.SP
1812.03358,eess.IV
0705.1750,cs.DS
0708.2732,cs.IT
0708.2732,math.IT
1711.03847,eess.SP
1711.03847,physics.data-an
1011.0096,stat.ML
0710.0445,q-bio.PE
0710.0445,q-bio.BM
0704.1384,math.AG
0911.5503,q-fin.PR
0911.5503,q-fin.GN
0704.1455,cs.IT
0704.1455,math.IT
1310.1142,q-fin.PR
1310.1142,q-fin.GN
1801.01792,econ.EM
1801.01792,stat.AP
0704.1473,quant-ph
0709.1023,quant-ph
0709.1023,cond-mat.stat-mech
0709.1023,cs.CC
0709.1023,nlin.AO
0709.1699,cs.LO
0709.1699,cs.AI
1201.4551,stat.AP
1201.4551,q-fin.GN
0704.2471,math-ph
0704.2471,math.AG
0704.2471,math.MP
1307.7244,q-fin.ST
1105.5850,q-fin.CP
1105.5850,q-fin.ST
1105.5850,stat.CO
1105.5850,stat.ME
1003.3093,q-bio.BM
1710.10450,eess.SP
0704.1301,astro-ph
0911.0280,stat.ML
0912.1277,q-bio.QM
0704.2002,physics.flu-dyn
0704.2002,astro-ph
0704.2002,nlin.CD
0704.2002,physics.plasm-ph
0710.2604,cs.DB
0811.3514,q-bio.GN
0811.3514,q-bio.PE
1808.08786,eess.SP
0705.3992,cs.IT
0705.3992,math.IT
0711.0538,cs.SE
1905.01798,econ.EM
1905.01798,stat.ME
1811.01980,eess.IV
0905.4092,q-bio.MN
0905.4092,q-bio.QM
0710.1976,cs.DM
0710.1976,cond-mat.stat-mech
0707.2090,cs.IT
0707.2090,math.IT
1905.03959,econ.TH
1905.03959,econ.EM
0704.0539,math.ST
0704.0539,stat.TH
0704.2331,math.AG
1302.0574,q-fin.PR
0704.0941,astro-ph
0704.0717,cond-mat.str-el
0704.0717,cond-mat.supr-con
1810.13237,econ.EM
1808.00166,eess.SP
0704.0531,hep-th
1803.06401,econ.EM
1803.06401,stat.ML
0704.0533,cond-mat.str-el
0704.0533,cond-mat.mtrl-sci
1302.3771,q-fin.PR
1805.11932,econ.GN
1805.11932,q-fin.EC
1810.07674,math.PR
1810.07674,econ.GN
1810.07674,math.OC
1810.07674,q-fin.EC
1406.0044,q-fin.PM
1406.0044,q-fin.RM
0901.1598,q-bio.PE
0711.2652,math.DG
0711.2652,cs.IT
0711.2652,math.IT
0802.4259,q-bio.BM
0802.4259,q-bio.MN
0910.1656,stat.AP
1002.3315,stat.ML
1002.3315,stat.ME
0811.3499,stat.ML
0811.1005,q-bio.BM
0708.0741,cs.IR
0704.0740,astro-ph
1711.05596,q-bio.NC
1711.05596,eess.AS
0705.0100,math.GM
1005.1514,q-bio.GN
0704.1225,q-fin.GN
0704.1225,cond-mat.dis-nn
0704.1225,physics.soc-ph
0705.1789,cs.IT
0705.1789,cs.CR
0705.1789,math.IT
0909.1690,q-fin.TR
0704.1831,nucl-th
1101.0947,stat.AP
0704.1461,nucl-th
0704.1461,cond-mat.soft
0704.1461,nucl-ex
1803.01141,eess.SP
0704.1472,cond-mat.str-el
0704.1472,cond-mat.stat-mech
0705.0506,math.PR
0806.0744,q-bio.CB
0806.0744,q-bio.QM
1811.02214,eess.SP
1908.09976,q-fin.MF
1908.09976,econ.TH
1908.09976,math.OC
1908.09976,q-fin.PM
1706.05982,stat.ME
1706.05982,econ.EM
1805.05533,eess.SP
1901.04265,econ.GN
1901.04265,q-fin.EC
1007.0471,q-bio.OT
1011.3411,stat.AP
0704.0676,astro-ph
1106.5598,stat.OT
0710.5072,stat.ME
1801.07567,eess.SP
1407.4452,q-fin.PR
1407.4452,q-fin.MF
1811.07499,math.ST
1811.07499,econ.EM
