paper_id,topic_id
0704.0061,math.FA
0705.2363,stat.ML
0704.0309,cs.CC
0704.0309,cs.DM
0704.0010,math.CO
0704.0322,nlin.PS
0704.0322,nlin.CD
0704.0322,q-bio.PE
0704.0022,math.NA
0708.1627,stat.ME
0708.1627,econ.EM
0704.0217,cs.IT
0704.0217,math.IT
0708.4376,q-fin.ST
0708.4376,stat.AP
0708.4376,stat.ME
0704.0002,math.CO
0704.0002,cs.CG
1105.6154,stat.ME
1105.6154,econ.EM
1105.6154,math.ST
1105.6154,stat.TH
0704.0615,q-bio.PE
1707.07625,stat.OT
1707.07625,cond-mat.other
1707.07625,eess.SP
1707.07625,physics.data-an
0704.0014,math.CA
0704.0014,math.AT
0704.0648,q-bio.NC
0807.3059,q-fin.GN
0807.3059,nlin.AO
0704.0046,quant-ph
0704.0046,cs.IT
0704.0046,math.IT
0704.0429,q-bio.SC
0704.0429,q-bio.CB
0709.2694,q-fin.GN
0709.2694,nlin.AO
0704.1546,q-bio.BM
0704.0492,cs.CR
1709.06072,eess.SP
0801.3353,math.PR
0801.3353,econ.TH
0704.0008,cond-mat.mtrl-sci
0704.1711,stat.AP
0705.0568,stat.AP
0705.0568,stat.ME
0705.0304,stat.AP
0705.0304,stat.ME
1605.02869,q-bio.QM
1605.02869,eess.SP
1605.02869,q-bio.NC
1605.02869,stat.ML
0704.2200,q-bio.MN
0704.0050,cs.NE
0704.0050,cs.AI
1707.09453,physics.optics
1707.09453,eess.IV
1707.09453,eess.SP
1707.09453,physics.app-ph
0704.3686,stat.ME
0704.3686,econ.EM
0704.3686,math.ST
0704.3686,stat.TH
0704.0229,cs.CC
0704.3649,stat.ME
0704.3649,econ.EM
0704.3649,math.ST
0704.3649,stat.TH
0704.0005,math.CA
0704.0005,math.FA
0705.2938,stat.ME
0704.2191,q-bio.GN
0704.0004,math.CO
0705.0418,stat.AP
0705.0418,stat.ME
1709.06073,eess.SP
0704.0016,hep-ph
0704.0027,cond-mat.mes-hall
0704.0331,q-bio.OT
0704.0108,cs.CC
0706.0787,stat.CO
0705.3257,stat.AP
0704.0030,cond-mat.str-el
0912.5013,stat.ME
0912.5013,econ.EM
0912.5013,math.ST
0912.5013,q-fin.RM
0912.5013,stat.TH
0704.0041,math.QA
0704.0041,math-ph
0704.0041,math.MP
0805.2713,q-fin.ST
0805.2713,nlin.CD
0801.1599,q-fin.ST
0801.1599,stat.ME
1707.09255,physics.optics
1707.09255,eess.SP
0704.0009,astro-ph
0704.0047,cs.NE
0704.0047,cs.AI
0802.0220,q-fin.ST
0802.0220,stat.AP
0802.0220,stat.ME
0704.0011,math.NT
0704.0011,math.AG
0704.0062,cs.DS
0704.0001,hep-ph
1410.1272,eess.SP
0904.3132,math.ST
0904.3132,econ.EM
0904.3132,math.PR
0904.3132,stat.ME
0904.3132,stat.TH
0709.3884,q-fin.ST
0709.3884,stat.AP
0709.3884,stat.ME
1707.08701,physics.optics
1707.08701,eess.IV
1707.08701,eess.SP
0704.0040,math.OA
0704.0040,math.FA
0704.0006,cond-mat.mes-hall
0704.0020,hep-ex
0704.0361,cs.IT
0704.0361,math.IT
0712.2088,q-fin.GN
0712.2088,stat.AP
1104.4580,stat.ME
1104.4580,econ.EM
1012.1297,stat.ME
1012.1297,econ.EM
1012.1297,math.ST
1012.1297,stat.AP
1012.1297,stat.TH
0904.1990,stat.ME
0904.1990,econ.EM
0904.1990,math.ST
0904.1990,stat.AP
0904.1990,stat.TH
0704.0282,cs.IT
0704.0282,cs.CC
0704.0282,math.IT
0704.0468,cs.CC
0704.0468,cs.DS
0705.2214,stat.ME
0705.2214,stat.CO
0704.1362,q-bio.QM
0704.1362,q-bio.NC
0704.3474,stat.AP
1601.07624,stat.AP
1601.07624,eess.SP
0704.0049,math.CO
0704.0031,hep-ph
0710.4010,q-fin.ST
0710.4010,nlin.AO
0710.4010,nlin.CG
0704.0003,physics.gen-ph
0710.0745,q-fin.GN
0710.0745,stat.AP
0705.0700,stat.ME
0704.1390,q-bio.CB
0704.0634,q-bio.BM
0704.0634,q-bio.QM
1709.06074,eess.SP
0910.2465,math.CO
0910.2465,econ.TH
1707.09577,physics.optics
1707.09577,eess.IV
1707.09577,eess.SP
1707.09577,physics.app-ph
1201.0220,stat.ME
1201.0220,econ.EM
1201.0220,stat.AP
0704.0025,cond-mat.str-el
0704.0025,cond-mat.stat-mech
0802.0223,q-fin.ST
0802.0223,stat.AP
0802.0223,stat.ME
0704.0023,astro-ph
0704.0357,q-bio.PE
0704.0357,q-bio.OT
0804.2441,nlin.CD
0804.2441,q-fin.ST
1308.0400,eess.SP
0704.0012,math.NT
0705.0569,stat.AP
